MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15076938,2015,Aug,7,Fire,GRASS - Small Grass Fire,B3,AFD,00-1801,3F,Code 3,1,"(30320232, 97666863)"
15077044,2015,Aug,7,Fire,ELEC - Electrical Fire,B2,AFD,00-2101,3F,Code 3,10,"(30354688, 97752365)"
15077061,2015,Aug,7,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2203,4F,Code 1,3,"(30236892, 97711338)"
15077076,2015,Aug,7,Fire,TRASH - Trash Fire,B2,AFD,00-3906,3F,Code 3,6,"(30421362, 97845226)"
15077077,2015,Aug,7,Fire,GRASS - Small Grass Fire,B2,AFD,00-3906,3F,Left Blank,6,"(30421362, 97845226)"
15077087,2015,Aug,7,Fire,ELEC - Electrical Fire,B3,AFD,00-2606,3F,Code 1,1,"(30290913, 97654140)"
15077092,2015,Aug,7,Fire,AUTO - Auto Fire,B5,AFD,00-0701,2F,Code 1,1,"(30273869, 97718869)"
15077094,2015,Aug,7,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 3,1,"(30302532, 97660212)"
15077122,2015,Aug,8,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3,"(30229774, 97726495)"
15077224,2015,Aug,8,Fire,AUTO - Auto Fire,B4,AFD,00-2903,2F,Code 3,5,"(30181535, 97839243)"
15077282,2015,Aug,8,Fire,GRASS - Small Grass Fire,B2,AFD,00-3301,3F,Code 3,10,"(30403037, 97777444)"
15077289,2015,Aug,8,Fire,BBQ - Unsafe Cooking,B2,AFD,00-3901,4F,Code 1,6,"(30419489, 97845993)"
15077294,2015,Aug,8,Fire,ELEC - Electrical Fire,B5,AFD,00-0504,3F,Code 3,1,"(30307640, 97669537)"
15077328,2015,Aug,8,Fire,GRASS - Small Grass Fire,B5,AFD,00-4202,3F,Code 3,2,"(30193485, 97622252)"
15077334,2015,Aug,8,Fire,GRASS - Small Grass Fire,B3,AFD,00-1803,3F,Code 3,4,"(30315813, 97701535)"
15077368,2015,Aug,8,Fire,AUTO - Auto Fire,B3,AFD,00-2301,2F,Code 3,4,"(30357900, 97687501)"
15077428,2015,Aug,8,Fire,ELEC - Electrical Fire,B3,AFD,00-3002,3F,Code 3,7,"(30397697, 97702365)"
15077442,2015,Aug,8,Fire,AUTO - Auto Fire,B2,AFD,00-3901,2F,Code 3,6,"(30418887, 97846274)"
15052590,2015,May,29,Fire,DUMP - Dumpster Fire,B1,AFD,00-0401,3F,Code 3,9,"(30272763, 97757111)"
15077484,2015,Aug,8,Fire,DUMP - Dumpster Fire,B1,AFD,00-0201,3F,Code 3,9,"(30284868, 97748152)"
15052631,2015,May,29,Fire,ELEC - Electrical Fire,B3,AFD,00-0803,3F,Code 3,4,"(30358787, 97713004)"
15077501,2015,Aug,8,Fire,AUTO - Auto Fire,B1,AFD,00-0102,2F,Code 3,9,"(30268296, 97740037)"
15077515,2015,Aug,8,Fire,ELEC - Electrical Fire,B4,AFD,00-2004,3F,Code 3,5,"(30216649, 97796639)"
15077516,2015,Aug,8,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2401,4F,Code 1,2,"(30191283, 97731155)"
15077546,2015,Aug,9,Fire,AUTO - Auto Fire,B3,AFD,00-1804,2F,Code 3,4,"(30333964, 97694445)"
15077658,2015,Aug,9,Fire,GRASS - Small Grass Fire,B1,AFD,00-0401,3F,Code 3,9,"(30276310, 97752821)"
15077666,2015,Aug,9,Fire,TRASH - Trash Fire,B5,AFD,00-2404,3F,Code 3,2,"(30151667, 97742245)"
15077702,2015,Aug,9,Fire,GRASS - Small Grass Fire,B1,AFD,00-1204,3F,Code 3,7,"(30325490, 97732597)"
