MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
17081553,2017,Aug,21,Fire,AUTO - Auto Fire,B2,AFD,00-3404,2F,Code 3,6,"(30478756, 97802058)"
17062308,2017,Jun,26,Fire,ELEC - Electrical Fire,B3,AFD,00-0801,3F,Other,4,"(30372163, 97723397)"
17081644,2017,Aug,21,Fire,GRASS - Small Grass Fire,B2,AFD,00-3102,3F,Code 3,10,"(30390631, 97828644)"
17081661,2017,Aug,21,Fire,AUTO - Auto Fire,B5,AFD,00-1505,2F,Code 3,3,"(30253055, 97678940)"
17062400,2017,Jun,26,Fire,AUTO - Auto Fire,B3,AFD,00-0801,2F,Code 3,4,"(30366405, 97715677)"
17062430,2017,Jun,26,Fire,ELEC - Electrical Fire,B4,AFD,00-2403,3F,Code 3,2,"(30187199, 97760910)"
17081710,2017,Aug,21,Fire,DUMP - Dumpster Fire,B7,AFD,00-1401,3F,Code 3,19,"(30296876, 97687632)"
17081724,2017,Aug,21,Fire,TRASH - Trash Fire,B1,AFD,00-0203,3F,Code 3,1,"(30274302, 97723043)"
17062722,2017,Jun,27,Fire,AUTO - Auto Fire,B2,AFD,00-3102,2F,Code 3,10,"(30369781, 97788122)"
17081816,2017,Aug,22,Fire,AUTO - Auto Fire,B7,AFD,00-2304,2F,Code 3,4,"(30335946, 97684189)"
17081835,2017,Aug,22,Fire,ELEC - Electrical Fire,B7,AFD,00-2301,3F,Code 3,4,"(30363699, 97682630)"
17062734,2017,Jun,27,Fire,TRASH - Trash Fire,B1,AFD,00-0702,3F,Code 3,3,"(30261142, 97711614)"
17081907,2017,Aug,22,Fire,AUTO - Auto Fire,B3,AFD,00-0803,2F,Code 3,4,"(30363234, 97717379)"
17081974,2017,Aug,22,Fire,TRASH - Trash Fire,B7,AFD,00-2301,3F,Code 3,4,"(30363699, 97682630)"
